lyric,album_title,year,track_title,track_number,lyric_normalized,lyric_nostop,lyric_lemma
"The cadence of her last breath (run away, run away, run away, run away)",Dark Passion Play,2007,Cadence Of Her Last Breath,4,the cadence of her last breath run away run away run away run away,cadence breath run away run away run away run away,cadence breath run away run away run away run away
Who the hell are you to tell me,Dark Passion Play,2007,Master Passion Greed,5,who the hell are you to tell me,hell tell,hell tell
"What to do, why to do, why bother?",Dark Passion Play,2007,Master Passion Greed,5,what to do why to do why bother,bother,bother
Leech in a mask of virtue,Dark Passion Play,2007,Master Passion Greed,5,leech in a mask of virtue,leech mask virtue,leech mask virtue
"Such waste, to ever think of you again.",Dark Passion Play,2007,Master Passion Greed,5,such waste to ever think of you again,waste think,waste think
"Hey Judas, your christens was our love.",Dark Passion Play,2007,Master Passion Greed,5,hey judas your christen was our love,hey judas christen love,hey judas christen love
"Hit and run, you're be done.",Dark Passion Play,2007,Master Passion Greed,5,hit and run you are be done,hit run,hit run
"Never sorry, never wrong,",Dark Passion Play,2007,Master Passion Greed,5,never sorry never wrong,sorry wrong,sorry wrong
"More, more, more, more, more.",Dark Passion Play,2007,Master Passion Greed,5,more more more more more,,
Master Passion Greed,Dark Passion Play,2007,Master Passion Greed,5,master passion greed,master passion greed,master passion greed
Master Passion Greed,Dark Passion Play,2007,Master Passion Greed,5,master passion greed,master passion greed,master passion greed
"""Hello, how are you?",Dark Passion Play,2007,Master Passion Greed,5,hello how are you,hello,hello
Let me explain one thing.,Dark Passion Play,2007,Master Passion Greed,5,let me explain one thing,let explain thing,let explain thing
All for her and more for me.,Dark Passion Play,2007,Master Passion Greed,5,all for her and more for me,,
Why is it so hard to see?,Dark Passion Play,2007,Master Passion Greed,5,why is it so hard to see,hard,hard
"I see no sense in doing this,",Dark Passion Play,2007,Master Passion Greed,5,i see no sense in doing this,sense,sense
"Not enough for me,",Dark Passion Play,2007,Master Passion Greed,5,not enough for me,,
"I fuck up everything but let me explain.""",Dark Passion Play,2007,Master Passion Greed,5,i fuck up everything but let me explain,fuck let explain,fuck let explain
Some day,Dark Passion Play,2007,Master Passion Greed,5,some day,day,day
"Some day you shall flee,",Dark Passion Play,2007,Master Passion Greed,5,some day you shall flee,day shall flee,day shall flee
Panting and weak.,Dark Passion Play,2007,Master Passion Greed,5,panting and weak,panting weak,pant weak
Master Passion Greed,Dark Passion Play,2007,Master Passion Greed,5,master passion greed,master passion greed,master passion greed
Master Passion Greed,Dark Passion Play,2007,Master Passion Greed,5,master passion greed,master passion greed,master passion greed
Master Passion Greed,Dark Passion Play,2007,Master Passion Greed,5,master passion greed,master passion greed,master passion greed
Master Passion Greed,Dark Passion Play,2007,Master Passion Greed,5,master passion greed,master passion greed,master passion greed
"All within me gone but pain and hope,",Dark Passion Play,2007,Master Passion Greed,5,all within me gone but pain and hope,gone pain hope,go pain hope
Hoping that the pain will fade away.,Dark Passion Play,2007,Master Passion Greed,5,hoping that the pain will fade away,hoping pain fade away,hope pain fade away
"Greed your master passion,",Dark Passion Play,2007,Master Passion Greed,5,greed your master passion,greed master passion,greed master passion
I feed the mouth that bites me.,Dark Passion Play,2007,Master Passion Greed,5,i feed the mouth that bites me,feed mouth bites,feed mouth bite
"Mammon, opiate of the masses,",Dark Passion Play,2007,Master Passion Greed,5,mammon opiate of the masses,mammon opiate masses,mammon opiate masse
The reek of your lies draws flies.,Dark Passion Play,2007,Master Passion Greed,5,the reek of your lies draws flies,reek lies draws flies,reek lie draw fly
"Seek her,",Dark Passion Play,2007,Master Passion Greed,5,seek her,seek,seek
"Seduce her,",Dark Passion Play,2007,Master Passion Greed,5,seduce her,seduce,seduce
"Tame her,",Dark Passion Play,2007,Master Passion Greed,5,tame her,tame,tame
"Blame her,",Dark Passion Play,2007,Master Passion Greed,5,blame her,blame,blame
"Have her,",Dark Passion Play,2007,Master Passion Greed,5,have her,,
Kill her.,Dark Passion Play,2007,Master Passion Greed,5,kill her,kill,kill
"Seek her,",Dark Passion Play,2007,Master Passion Greed,5,seek her,seek,seek
"Seduce her,",Dark Passion Play,2007,Master Passion Greed,5,seduce her,seduce,seduce
"Tame her,",Dark Passion Play,2007,Master Passion Greed,5,tame her,tame,tame
"Blame her,",Dark Passion Play,2007,Master Passion Greed,5,blame her,blame,blame
Feast on it all.,Dark Passion Play,2007,Master Passion Greed,5,feast on it all,feast,feast
"Seek her,",Dark Passion Play,2007,Master Passion Greed,5,seek her,seek,seek
"Seduce her,",Dark Passion Play,2007,Master Passion Greed,5,seduce her,seduce,seduce
"Tame her,",Dark Passion Play,2007,Master Passion Greed,5,tame her,tame,tame
"Blame her,",Dark Passion Play,2007,Master Passion Greed,5,blame her,blame,blame
"Have her,",Dark Passion Play,2007,Master Passion Greed,5,have her,,
Kill her.,Dark Passion Play,2007,Master Passion Greed,5,kill her,kill,kill
"Seek her,",Dark Passion Play,2007,Master Passion Greed,5,seek her,seek,seek
"Seduce her,",Dark Passion Play,2007,Master Passion Greed,5,seduce her,seduce,seduce
"Tame her,",Dark Passion Play,2007,Master Passion Greed,5,tame her,tame,tame
"Blame her,",Dark Passion Play,2007,Master Passion Greed,5,blame her,blame,blame
Feast on it all.,Dark Passion Play,2007,Master Passion Greed,5,feast on it all,feast,feast
With awakening the tears will begin.,Dark Passion Play,2007,Master Passion Greed,5,with awakening the tears will begin,awakening tears begin,awakening tear begin
To my everlasting shame silence took me.,Dark Passion Play,2007,Master Passion Greed,5,to my everlasting shame silence took me,everlasting shame silence took,everlasting shame silence take
6:30 winter morn,Dark Passion Play,2007,Eva,6,6 30 winter morn,6 30 winter morn,6 30 winter morn
"Snow keeps falling, silent dawn",Dark Passion Play,2007,Eva,6,snow keeps falling silent dawn,snow keeps falling silent dawn,snow keep fall silent dawn
A rose by any other name,Dark Passion Play,2007,Eva,6,a rose by any other name,rose,rise
Eva leaves her Swanbrook home.,Dark Passion Play,2007,Eva,6,eva leaves her swinbrook home,eva leaves swinbrook home,eva leave swinbrook home
A kindest heart which always made,Dark Passion Play,2007,Eva,6,a kindest heart which always made,kindest heart,kind heart
Me ashamed of my own.,Dark Passion Play,2007,Eva,6,me ashamed of my own,ashamed,ashamed
She walks alone but not without her name.,Dark Passion Play,2007,Eva,6,she walks alone but not without her name,walks,walk
"Eva flies away,",Dark Passion Play,2007,Eva,6,eva flies away,eva flies away,eva fly away
Dreams the world far away.,Dark Passion Play,2007,Eva,6,dreams the world far away,dreams world far away,dream world far away
In this cruel children's game,Dark Passion Play,2007,Eva,6,in this cruel children s game,cruel children s game,cruel child s game
There's no friend to call her name.,Dark Passion Play,2007,Eva,6,there is no friend to call her name,friend,friend
"Eva sails away,",Dark Passion Play,2007,Eva,6,eva sails away,eva sails away,eva sail away
Dreams the world far away.,Dark Passion Play,2007,Eva,6,dreams the world far away,dreams world far away,dream world far away
The Good in her will be my sunflower field.,Dark Passion Play,2007,Eva,6,the good in her will be my sunflower field,good sunflower field,good sunflower field
Mocked by man to depths of shame,Dark Passion Play,2007,Eva,6,mocked by man to depths of shame,mocked man depths shame,mock man depths shame
Little girl with life ahead.,Dark Passion Play,2007,Eva,6,little girl with life ahead,little girl life ahead,little girl life ahead
For a memory of one kind word,Dark Passion Play,2007,Eva,6,for a memory of one kind word,memory kind word,memory kind word
She would stay among the beasts.,Dark Passion Play,2007,Eva,6,she would stay among the beasts,stay beasts,stay beast
Time for one more daring dream,Dark Passion Play,2007,Eva,6,time for one more daring dream,time daring dream,time daring dream
"Before her escape,",Dark Passion Play,2007,Eva,6,before her escape,escape,escape
Edenbeam we kill with her own loving heart.,Dark Passion Play,2007,Eva,6,edenbeam we kill with her own loving heart,edenbeam kill loving heart,edenbeam kill love heart
A ballad of dark queen echoes through night,Dark Passion Play,2007,Sahara,7,a ballad of dark queen echoes through night,ballad dark queen echoes night,ballad dark queen echo night
"As he flees the curse of gods, the pharaoh`s wrath.",Dark Passion Play,2007,Sahara,7,as he flees the curse of gods the pharaoh s wrath,flees curse gods pharaoh s wrath,flee curse god pharaoh s wrath
"One thousand one nights unseen,",Dark Passion Play,2007,Sahara,7,one thousand one nights unseen,thousand nights unseen,thousand night unseen
The philosopher and the queen.,Dark Passion Play,2007,Sahara,7,the philosopher and the queen,philosopher queen,philosopher queen
"Ancient mariner in a sea of sand,",Dark Passion Play,2007,Sahara,7,ancient mariner in a sea of sand,ancient mariner sea sand,ancient mariner sea sand
The burning beauty his tomb to die for.,Dark Passion Play,2007,Sahara,7,the burning beauty his tomb to die for,burning beauty tomb die,burn beauty tomb die
(Horizon`s swarming with death,Dark Passion Play,2007,Sahara,7,horizon s swarming with death,horizon s swarming death,horizon s swarm death
Run!),Dark Passion Play,2007,Sahara,7,run,run,run
"Heaven has a darkened face,",Dark Passion Play,2007,Sahara,7,heaven has a darkened face,heaven darkened face,heaven darken face
Dunes are soaring as on a chase.,Dark Passion Play,2007,Sahara,7,dunes are soaring as on a chase,dunes soaring chase,dune soar chase
Caravan of the cursed,Dark Passion Play,2007,Sahara,7,caravan of the cursed,caravan cursed,caravan curse
Chasing him across the waves.,Dark Passion Play,2007,Sahara,7,chasing him across the waves,chasing waves,chase wave
May he now rest under aegis of mirage,Dark Passion Play,2007,Sahara,7,may he now rest under aegis of mirage,rest aegis mirage,rest aegis mirage
As the sands slowly turn to Elysian fields.,Dark Passion Play,2007,Sahara,7,as the sands slowly turn to elysian fields,sands slowly turn elysian fields,sand slowly turn elysian field
(One thousand one),Dark Passion Play,2007,Sahara,7,one thousand one,thousand,thousand
(One thousand one),Dark Passion Play,2007,Sahara,7,one thousand one,thousand,thousand
(One thousand one),Dark Passion Play,2007,Sahara,7,one thousand one,thousand,thousand
(One thousand one),Dark Passion Play,2007,Sahara,7,one thousand one,thousand,thousand
We seduce the dark with pain and rapture,Dark Passion Play,2007,Whoever Brings The Night,8,we seduce the dark with pain and rapture,seduce dark pain rapture,seduce dark pain rapture
Like two ships that pass in the night.,Dark Passion Play,2007,Whoever Brings The Night,8,like two ships that pass in the night,like ships pass night,like ship pass night
You and I - a whore and a bashful sailor.,Dark Passion Play,2007,Whoever Brings The Night,8,you and i a whore and a bashful sailor,whore bashful sailor,whore bashful sailor
Welcome to a sunrise of a dirty mind.,Dark Passion Play,2007,Whoever Brings The Night,8,welcome to a sunrise of a dirty mind,welcome sunrise dirty mind,welcome sunrise dirty mind
"All your love is a lie,",Dark Passion Play,2007,Whoever Brings The Night,8,all your love is a lie,love lie,love lie
You're one-night butterfly.,Dark Passion Play,2007,Whoever Brings The Night,8,you are one night butterfly,night butterfly,night butterfly
"Hurt me, be the one",Dark Passion Play,2007,Whoever Brings The Night,8,hurt me be the one,hurt,hurt
Whoever brings the night.,Dark Passion Play,2007,Whoever Brings The Night,8,whoever brings the night,brings night,bring night
"The Dark created to hide the innocent white, the lust of night.",Dark Passion Play,2007,Whoever Brings The Night,8,the dark created to hide the innocent white the lust of night,dark created hide innocent white lust night,dark create hide innocent white lust night
"Eyes so bright, seductive lies",Dark Passion Play,2007,Whoever Brings The Night,8,eyes so bright seductive lies,eyes bright seductive lies,eye bright seductive lie
Crimson masquerade where I merely played my part,Dark Passion Play,2007,Whoever Brings The Night,8,crimson masquerade where i merely played my part,crimson masquerade merely played,crimson masquerade merely play
Poison dart of desire.,Dark Passion Play,2007,Whoever Brings The Night,8,poison dart of desire,poison dart desire,poison dart desire
"Choose a bride tonight,",Dark Passion Play,2007,Whoever Brings The Night,8,choose a bride tonight,choose bride tonight,choose bride tonight
a fantasy for a zombie.,Dark Passion Play,2007,Whoever Brings The Night,8,a fantasy for a zombie,fantasy zombie,fantasy zombie
Hurt me - I love to suffer.,Dark Passion Play,2007,Whoever Brings The Night,8,hurt me i love to suffer,hurt love suffer,hurt love suffer
Your harem's a dream for free.,Dark Passion Play,2007,Whoever Brings The Night,8,your harem s a dream for free,harem s dream free,harem s dream free
"Enter,",Dark Passion Play,2007,Whoever Brings The Night,8,enter,enter,enter
Suck from us and live forever.,Dark Passion Play,2007,Whoever Brings The Night,8,suck from us and live forever,suck live forever,suck live forever
Rotten beauty,Dark Passion Play,2007,Whoever Brings The Night,8,rotten beauty,rotten beauty,rotten beauty
Will haunt you for a lifetime.,Dark Passion Play,2007,Whoever Brings The Night,8,will haunt you for a lifetime,haunt lifetime,haunt lifetime
Come with me under water,Dark Passion Play,2007,Whoever Brings The Night,8,come with me under water,come water,come water
And drown to despise me no more.,Dark Passion Play,2007,Whoever Brings The Night,8,and drown to despise me no more,drown despise,drown despise
"Unholy, unworthy,",Dark Passion Play,2007,Whoever Brings The Night,8,unholy unworthy,unholy unworthy,unholy unworthy
My night is a dream for free.,Dark Passion Play,2007,Whoever Brings The Night,8,my night is a dream for free,night dream free,night dream free
Heaven today is but a way,Dark Passion Play,2007,For The Heart I Once Had,9,heaven today is but a way,heaven today way,heaven today way
To a place I once called home.,Dark Passion Play,2007,For The Heart I Once Had,9,to a place i once called home,place called home,place call home
"Heart of a child, one final sigh",Dark Passion Play,2007,For The Heart I Once Had,9,heart of a child one final sigh,heart child final sigh,heart child final sigh
As another love goes cold.,Dark Passion Play,2007,For The Heart I Once Had,9,as another love goes cold,love goes cold,love go cold
Once my heart beats to the rhythm of the falling snow,Dark Passion Play,2007,For The Heart I Once Had,9,once my heart beats to the rhythm of the falling snow,heart beats rhythm falling snow,heart beat rhythm fall snow
blackened below.,Dark Passion Play,2007,For The Heart I Once Had,9,blackened below,blackened,blacken
The river now flows - a stream on molten virgin snow.,Dark Passion Play,2007,For The Heart I Once Had,9,the river now flows a stream on molten virgin snow,river flows stream molten virgin snow,river flow stream molten virgin snow
"For the heart I'll never have,",Dark Passion Play,2007,For The Heart I Once Had,9,for the heart i will never have,heart,heart
For the child forever gone,Dark Passion Play,2007,For The Heart I Once Had,9,for the child forever gone,child forever gone,child forever go
The music flows because it longs,Dark Passion Play,2007,For The Heart I Once Had,9,the music flows because it longs,music flows longs,music flow long
For the heart I once had.,Dark Passion Play,2007,For The Heart I Once Had,9,for the heart i once had,heart,heart
Living today without a way,Dark Passion Play,2007,For The Heart I Once Had,9,living today without a way,living today way,live today way
To understand the weight of the world.,Dark Passion Play,2007,For The Heart I Once Had,9,to understand the weight of the world,understand weight world,understand weight world
"Faded and torn, old and forlorn",Dark Passion Play,2007,For The Heart I Once Had,9,faded and torn old and forlorn,faded torn old forlorn,fade torn old forlorn
My weak and hoping heart.,Dark Passion Play,2007,For The Heart I Once Had,9,my weak and hoping heart,weak hoping heart,weak hope heart
"For the child, for the night",Dark Passion Play,2007,For The Heart I Once Had,9,for the child for the night,child night,child night
For the heart I once had,Dark Passion Play,2007,For The Heart I Once Had,9,for the heart i once had,heart,heart
I believe and foresee,Dark Passion Play,2007,For The Heart I Once Had,9,i believe and foresee,believe foresee,believe foresee
Everything I could ever be.,Dark Passion Play,2007,For The Heart I Once Had,9,everything i could ever be,,
"Time will not heal a dead boy's scars,",Dark Passion Play,2007,For The Heart I Once Had,9,time will not heal a dead boy s scars,time heal dead boy s scars,time heal dead boy s scar
Time will kill.,Dark Passion Play,2007,For The Heart I Once Had,9,time will kill,time kill,time kill
An old man by a sea shore at the end of day,Dark Passion Play,2007,The Islander,10,an old man by a sea shore at the end of day,old man sea shore end day,old man sea shore end day
Gazes the horizon with sea winds in his face.,Dark Passion Play,2007,The Islander,10,gazes the horizon with sea winds in his face,gazes horizon sea winds face,gaze horizon sea wind face
"Tempest-tossed island, seasons all the same.",Dark Passion Play,2007,The Islander,10,tempest tossed island seasons all the same,tempest tossed island seasons,tempest toss island season
Anchorage unpainted and a ship without a name.,Dark Passion Play,2007,The Islander,10,anchorage unpainted and a ship without a name,anchorage unpainted ship,anchorage unpainted ship
Sea without a shore for the vanished one unheard,Dark Passion Play,2007,The Islander,10,sea without a shore for the vanished one unheard,sea shore vanished unheard,sea shore vanish unheard
"He lightens the beacon, light at the end of world.",Dark Passion Play,2007,The Islander,10,he lightens the beacon light at the end of world,lightens beacon light end world,lighten beacon light end world
"Showing the way, lighting hope in their hearts,",Dark Passion Play,2007,The Islander,10,showing the way lighting hope in their hearts,showing way lighting hope hearts,show way lighting hope heart
The ones and their travels homeward from afar.,Dark Passion Play,2007,The Islander,10,the ones and their travels homeward from afar,ones travels homeward afar,one travel homeward afar
This is for long-forgotten light at the end of the world.,Dark Passion Play,2007,The Islander,10,this is for long forgotten light at the end of the world,long forgotten light end world,long forgotten light end world
Horizon's crying the tears he left behind long ago.,Dark Passion Play,2007,The Islander,10,horizon s crying the tears he left behind long ago,horizon s crying tears left long ago,horizon s cry tear leave long ago
"The albatross is flying, making him daydream",Dark Passion Play,2007,The Islander,10,the albatross is flying making him daydream,albatross flying making daydream,albatross fly make daydream
The time before he became - one of the world`s unseen,Dark Passion Play,2007,The Islander,10,the time before he became one of the world s unseen,time world s unseen,time world s unseen
"Princess in the tower, children in the fields -",Dark Passion Play,2007,The Islander,10,princess in the tower children in the fields,princess tower children fields,princess tower child field
Life gave him it all: an island of the universe.,Dark Passion Play,2007,The Islander,10,life gave him it all an island of the universe,life gave island universe,life give island universe
"Now his love`s a memory, a ghost in the fog.",Dark Passion Play,2007,The Islander,10,now his love s a memory a ghost in the fog,love s memory ghost fog,love s memory ghost fog
He sets the sails one last time saying farewell to the world.,Dark Passion Play,2007,The Islander,10,he sets the sails one last time saying farewell to the world,sets sails time saying farewell world,set sail time say farewell world
"Anchor to the water, seabed far below,",Dark Passion Play,2007,The Islander,10,anchor to the water seabed far below,anchor water seabed far,anchor water seabe far
Grass still in his feet and a smile beneath his brow.,Dark Passion Play,2007,The Islander,10,grass still in his feet and a smile beneath his brow,grass feet smile beneath brow,grass foot smile beneath brow
"The wolves, my love will come",Dark Passion Play,2007,7 Day To The Wolves,12,the wolves my love will come,wolves love come,wolf love come
Taking us home where dust once was a man.,Dark Passion Play,2007,7 Day To The Wolves,12,taking us home where dust once was a man,taking home dust man,take home dust man
Is there Life before a Death?,Dark Passion Play,2007,7 Day To The Wolves,12,is there life before a death,life death,life death
Do we long too much and never let in?,Dark Passion Play,2007,7 Day To The Wolves,12,do we long too much and never let in,long let,long let
Howl!,Dark Passion Play,2007,7 Day To The Wolves,12,howl,howl,howl
Seven days to the wolves!,Dark Passion Play,2007,7 Day To The Wolves,12,seven days to the wolves,seven days wolves,seven day wolf
Where will we be when they come?,Dark Passion Play,2007,7 Day To The Wolves,12,where will we be when they come,come,come
Seven days to the poison,Dark Passion Play,2007,7 Day To The Wolves,12,seven days to the poison,seven days poison,seven day poison
And a place in Heaven!,Dark Passion Play,2007,7 Day To The Wolves,12,and a place in heaven,place heaven,place heaven
Time drawing near as they come to take us.,Dark Passion Play,2007,7 Day To The Wolves,12,time drawing near as they come to take us,time drawing near come,time draw near come
"This is my church of choice,",Dark Passion Play,2007,7 Day To The Wolves,12,this is my church of choice,church choice,church choice
Love`s strength standeth in love`s sacrifice.,Dark Passion Play,2007,7 Day To The Wolves,12,love s strength standish in love s sacrifice,love s strength standish love s sacrifice,love s strength standish love s sacrifice
"For the rest, I have to say to you",Dark Passion Play,2007,7 Day To The Wolves,12,for the rest i have to say to you,rest,rest
I will dream like the god,Dark Passion Play,2007,7 Day To The Wolves,12,i will dream like the god,dream like god,dream like god
And suffer like all the dead children.,Dark Passion Play,2007,7 Day To The Wolves,12,and suffer like all the dead children,suffer like dead children,suffer like dead child
This is where heroes and cowards part ways.,Dark Passion Play,2007,7 Day To The Wolves,12,this is where heroes and cowards part ways,heroes cowards ways,hero coward way
"Light the fire, feast",Dark Passion Play,2007,7 Day To The Wolves,12,light the fire feast,light fire feast,light fire feast
"Chase the ghost, give in.",Dark Passion Play,2007,7 Day To The Wolves,12,chase the ghost give in,chase ghost,chase ghost
"Take the road less traveled by,",Dark Passion Play,2007,7 Day To The Wolves,12,take the road less travelled by,road travelled,road travel
"Leave the city of fools,",Dark Passion Play,2007,7 Day To The Wolves,12,leave the city of fools,leave city fools,leave city fool
Turn every poet loose.,Dark Passion Play,2007,7 Day To The Wolves,12,turn every poet loose,turn poet loose,turn poet loose
"I close my eyes, the lantern dies",Dark Passion Play,2007,Meadows Of Heaven,13,i close my eyes the lantern dies,close eyes lantern dies,close eye lantern die
"The scent of awakening, wild honey and dew.",Dark Passion Play,2007,Meadows Of Heaven,13,the scent of awakening wild honey and dew,scent awakening wild honey dew,scent awaken wild honey dew
"Childhood games, woods and lakes,",Dark Passion Play,2007,Meadows Of Heaven,13,childhood games woods and lakes,childhood games woods lakes,childhood games woods lakes
"Streams of silver, toys of olden days.",Dark Passion Play,2007,Meadows Of Heaven,13,streams of silver toys of olden days,streams silver toys olden days,streams silver toy olden day
Meadows of Heaven.,Dark Passion Play,2007,Meadows Of Heaven,13,meadows of heaven,meadows heaven,meadows heaven
Meadows of Heaven.,Dark Passion Play,2007,Meadows Of Heaven,13,meadows of heaven,meadows heaven,meadows heaven
"The flowers of wonder and the hidden treasures,",Dark Passion Play,2007,Meadows Of Heaven,13,the flowers of wonder and the hidden treasures,flowers wonder hidden treasures,flower wonder hide treasure
"In the meadow of life, my acre of Heaven.",Dark Passion Play,2007,Meadows Of Heaven,13,in the meadow of life my acre of heaven,meadow life acre heaven,meadow life acre heaven
A five-year-old winter heart in a place called home,Dark Passion Play,2007,Meadows Of Heaven,13,a five year old winter heart in a place called home,year old winter heart place called home,year old winter heart place call home
Sailing the waves of past.,Dark Passion Play,2007,Meadows Of Heaven,13,sailing the waves of past,sailing waves past,sailing wave past
Meadows of Heaven.,Dark Passion Play,2007,Meadows Of Heaven,13,meadows of heaven,meadows heaven,meadows heaven
Meadows of Heaven.,Dark Passion Play,2007,Meadows Of Heaven,13,meadows of heaven,meadows heaven,meadows heaven
Meadows of Heaven.,Dark Passion Play,2007,Meadows Of Heaven,13,meadows of heaven,meadows heaven,meadows heaven
Meadows of Heaven.,Dark Passion Play,2007,Meadows Of Heaven,13,meadows of heaven,meadows heaven,meadows heaven
"Rocking chair without a dreamer,",Dark Passion Play,2007,Meadows Of Heaven,13,rocking chair without a dreamer,rocking chair dreamer,rock chair dreamer
A wooden swing without laughter.,Dark Passion Play,2007,Meadows Of Heaven,13,a wooden swing without laughter,wooden swing laughter,wooden swing laughter
"Sandbox without toy soldiers,",Dark Passion Play,2007,Meadows Of Heaven,13,sandor without toy soldiers,sandor toy soldiers,sandor toy soldier
Yuletide without the flight.,Dark Passion Play,2007,Meadows Of Heaven,13,yuletide without the flight,yuletide flight,yuletide flight
Dreambound for life.,Dark Passion Play,2007,Meadows Of Heaven,13,dreambound for life,dreambound life,dreambound life
"Flowers wither, treasures stay hidden",Dark Passion Play,2007,Meadows Of Heaven,13,flowers wither treasures stay hidden,flowers wither treasures stay hidden,flower wither treasure stay hidden
Until I see the first star of fall.,Dark Passion Play,2007,Meadows Of Heaven,13,until i see the first star of fall,star fall,star fall
I fall asleep and see it all:,Dark Passion Play,2007,Meadows Of Heaven,13,i fall asleep and see it all,fall asleep,fall asleep
Mother's care and colour of the kites.,Dark Passion Play,2007,Meadows Of Heaven,13,mother s care and colour of the kites,mother s care colour kites,mother s care colour kite
Meadows of Heaven.,Dark Passion Play,2007,Meadows Of Heaven,13,meadows of heaven,meadows heaven,meadows heaven
Meadows of Heaven.,Dark Passion Play,2007,Meadows Of Heaven,13,meadows of heaven,meadows heaven,meadows heaven
Meadows of Heaven.,Dark Passion Play,2007,Meadows Of Heaven,13,meadows of heaven,meadows heaven,meadows heaven
Meadows of Heaven.,Dark Passion Play,2007,Meadows Of Heaven,13,meadows of heaven,meadows heaven,meadows heaven
Meadows of Heaven.,Dark Passion Play,2007,Meadows Of Heaven,13,meadows of heaven,meadows heaven,meadows heaven
Who's there knocking at my window?,Dark Passion Play,2007,The Escapist,14,who is there knocking at my window,knocking window,knock window
The owl and the Dead Boy,Dark Passion Play,2007,The Escapist,14,the owl and the dead boy,owl dead boy,owl dead boy
This night whispers my name,Dark Passion Play,2007,The Escapist,14,this night whispers my name,night whispers,night whisper
All the dying children,Dark Passion Play,2007,The Escapist,14,all the dying children,dying children,die child
Virgin snow beneath my feet,Dark Passion Play,2007,The Escapist,14,virgin snow beneath my feet,virgin snow beneath feet,virgin snow beneath foot
Painting the world in white,Dark Passion Play,2007,The Escapist,14,painting the world in white,painting world white,paint world white
I tread the way and lose myself into a tale,Dark Passion Play,2007,The Escapist,14,i tread the way and lose myself into a tale,tread way lose tale,tread way lose tale
Come hell or high water,Dark Passion Play,2007,The Escapist,14,come hell or high water,come hell high water,come hell high water
My search will go on,Dark Passion Play,2007,The Escapist,14,my search will go on,search,search
Clayborn Voyage without an end,Dark Passion Play,2007,The Escapist,14,clayton voyage without an end,clayton voyage end,clayton voyage end
A nightingale in a golden cage,Dark Passion Play,2007,The Escapist,14,a nightingale in a golden cage,nightingale golden cage,nightingale golden cage
That's me locked inside reality's maze,Dark Passion Play,2007,The Escapist,14,that is me locked inside reality s maze,locked inside reality s maze,lock inside reality s maze
Come someone make my heavy heart light,Dark Passion Play,2007,The Escapist,14,come someone make my heavy heart light,come heavy heart light,come heavy heart light
"Come undone, bring me back to life",Dark Passion Play,2007,The Escapist,14,come undone bring me back to life,come undone bring life,come undone bring life
It all starts with a lullaby,Dark Passion Play,2007,The Escapist,14,it all starts with a lullaby,starts lullaby,start lullaby
Journey homeward bound,Dark Passion Play,2007,The Escapist,14,journey homeward bound,journey homeward bound,journey homeward bind
A sound of a dolphin calling,Dark Passion Play,2007,The Escapist,14,a sound of a dolphin calling,sound dolphin calling,sound dolphin calling
Tearing off the mask of man,Dark Passion Play,2007,The Escapist,14,tearing off the mask of man,tearing mask man,tear mask man
"The tower, my sole guide",Dark Passion Play,2007,The Escapist,14,the tower my sole guide,tower sole guide,tower sole guide
This is who I am,Dark Passion Play,2007,The Escapist,14,this is who i am,,
"Escapist, paradise seeker",Dark Passion Play,2007,The Escapist,14,escapist paradise seeker,escapist paradise seeker,escapist paradise seeker
"Farewell, now time to fly",Dark Passion Play,2007,The Escapist,14,farewell now time to fly,farewell time fly,farewell time fly
"Out of sight, out of time, away from all lies",Dark Passion Play,2007,The Escapist,14,out of sight out of time away from all lies,sight time away lies,sight time away lie
A nightingale in a golden cage,Dark Passion Play,2007,The Escapist,14,a nightingale in a golden cage,nightingale golden cage,nightingale golden cage
That's me locked inside reality's maze,Dark Passion Play,2007,The Escapist,14,that is me locked inside reality s maze,locked inside reality s maze,lock inside reality s maze
Come someone make my heavy heart light,Dark Passion Play,2007,The Escapist,14,come someone make my heavy heart light,come heavy heart light,come heavy heart light
"Come undone, bring me back to life",Dark Passion Play,2007,The Escapist,14,come undone bring me back to life,come undone bring life,come undone bring life
It all starts with a lullaby,Dark Passion Play,2007,The Escapist,14,it all starts with a lullaby,starts lullaby,start lullaby
"Nukkuu korpi, ja nyt, aatoksissain minä matkaa teen",Erämaan Viimeinen,2007,Erämaan Viimeinen,1,nukkuu korpi ja not aatoksissain mina makaa teen,nukkuu korpi ja aatoksissain mina makaa teen,nukkuu korpi ja aatoksissain mina makaa teen
"Yli metsien, uinuvan veen",Erämaan Viimeinen,2007,Erämaan Viimeinen,1,ali methuen uinuvan veen,ali methuen uinuvan veen,ali methuen uinuvan veen
Kuutar taivaan yön valaisee,Erämaan Viimeinen,2007,Erämaan Viimeinen,1,kuntar taiwan yon malaise,kuntar taiwan yon malaise,kuntar taiwan yon malaise
"Maalaa maiseman, pohjoisen siimeksen",Erämaan Viimeinen,2007,Erämaan Viimeinen,1,malta wiseman pohjoisen simensen,malta wiseman pohjoisen simensen,malta wiseman pohjoisen simensen
"Unta onko tää,",Erämaan Viimeinen,2007,Erämaan Viimeinen,1,unto onto taa,unto taa,unto taa
